epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9636694192886353,0.1369268149137497,0.955294132232666,0.973621129989624,0.9914236664772034,0.07144799083471298,1.0,0.9821428656578064
1,0.9954586625099182,0.06373480707406998,0.9946140050888062,0.9964028596878052,0.9982847571372986,0.05037730932235718,0.9964413046836853,1.0
2,0.9987889528274536,0.04688231274485588,0.9988009333610535,0.9988009333610535,0.9982847571372986,0.04512161388993263,0.9964413046836853,1.0
3,0.9963669180870056,0.05418623611330986,0.9969987869262695,0.9958033561706543,0.9982847571372986,0.0456988699734211,0.9964413046836853,1.0
4,0.9957614541053772,0.05064639821648598,0.9958033561706543,0.9958033561706543,0.9982847571372986,0.044851504266262054,0.9964413046836853,1.0
5,0.9969724416732788,0.05329926311969757,0.9975990653038025,0.9964028596878052,0.9982847571372986,0.046117477118968964,1.0,0.9964285492897034
6,0.9921283721923828,0.0767713338136673,0.9910287261009216,0.993405282497406,0.9982847571372986,0.0447990857064724,1.0,0.9964285492897034
7,0.9987889528274536,0.04875202476978302,0.9993997812271118,0.9982014298439026,1.0,0.04306335374712944,1.0,1.0
8,0.9990917444229126,0.045405466109514236,0.9994001388549805,0.9988009333610535,1.0,0.04230999946594238,1.0,1.0
9,0.997577965259552,0.0451958142220974,0.9976019263267517,0.9976019263267517,1.0,0.04117994010448456,1.0,1.0
10,0.9996972680091858,0.041690897196531296,1.0,0.9994004964828491,1.0,0.040371716022491455,1.0,1.0
11,0.9990917444229126,0.04379395395517349,0.9988016486167908,0.9994004964828491,1.0,0.03950488939881325,1.0,1.0
12,0.9981834888458252,0.042197588831186295,0.9982014298439026,0.9982014298439026,0.9982847571372986,0.04358599707484245,0.9964413046836853,1.0
13,1.0,0.03920283168554306,1.0,1.0,0.9982847571372986,0.04004329442977905,0.9964413046836853,1.0
14,0.9993944764137268,0.038570255041122437,0.9994004964828491,0.9994004964828491,1.0,0.03800027444958687,1.0,1.0
15,1.0,0.037527795881032944,1.0,1.0,0.9982847571372986,0.037876587361097336,0.9964413046836853,1.0
16,1.0,0.036673836410045624,1.0,1.0,1.0,0.036992210894823074,1.0,1.0
17,1.0,0.036092039197683334,1.0,1.0,1.0,0.036647722125053406,1.0,1.0
18,1.0,0.035635124891996384,1.0,1.0,1.0,0.03564665466547012,1.0,1.0
19,1.0,0.03518432006239891,1.0,1.0,1.0,0.034879375249147415,1.0,1.0
20,1.0,0.034632980823516846,1.0,1.0,1.0,0.03416287153959274,1.0,1.0
21,1.0,0.03389150649309158,1.0,1.0,1.0,0.03323283791542053,1.0,1.0
22,1.0,0.03310905024409294,1.0,1.0,1.0,0.03270070627331734,1.0,1.0
23,1.0,0.03259946405887604,1.0,1.0,1.0,0.032192412763834,1.0,1.0
24,0.9993944764137268,0.03268226236104965,0.9988024234771729,1.0,0.9982847571372986,0.034410491585731506,0.9964413046836853,1.0
25,0.9990917444229126,0.0348619781434536,0.9988016486167908,0.9994004964828491,1.0,0.031686533242464066,1.0,1.0
26,0.9987889528274536,0.03577869012951851,0.9988009333610535,0.9988009333610535,0.9982847571372986,0.032981354743242264,0.9964413046836853,1.0
27,0.9996972680091858,0.031283795833587646,0.9994008541107178,1.0,0.9982847571372986,0.0321551151573658,0.9964413046836853,1.0
28,1.0,0.030451884493231773,1.0,1.0,0.9982847571372986,0.03152135759592056,0.9964413046836853,1.0
29,1.0,0.030290815979242325,1.0,1.0,0.9982847571372986,0.03125505894422531,0.9964413046836853,1.0
