epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss
0,0.9065356850624084,0.8782351016998291,0.11982052773237228,0.9829164147377014,0.969688355922699,0.03991633281111717
1,0.9810177683830261,0.9782466292381287,0.024337483569979668,0.9883342385292053,0.983710527420044,0.017152830958366394
2,0.9889589548110962,0.9869236350059509,0.014473783783614635,0.9893100261688232,0.9868865013122559,0.014427246525883675
3,0.9921374320983887,0.9904267191886902,0.010487223044037819,0.9905984401702881,0.9887931942939758,0.012486559338867664
4,0.9938421845436096,0.9923858046531677,0.008294397033751011,0.991949737071991,0.9904102683067322,0.010767404921352863
5,0.9949369430541992,0.993698000907898,0.006857284344732761,0.9931433796882629,0.9917926788330078,0.009220526553690434
6,0.995665431022644,0.9945666790008545,0.0059160045348107815,0.9940314888954163,0.992737889289856,0.008131070993840694
7,0.9961833357810974,0.995183527469635,0.005244653671979904,0.994542121887207,0.9931268095970154,0.007646637037396431
8,0.9965420365333557,0.9955931305885315,0.00479727191850543,0.9951663613319397,0.9938257932662964,0.006836215499788523
9,0.9968158602714539,0.9959097504615784,0.0044510699808597565,0.9955799579620361,0.9941555857658386,0.006474201567471027
10,0.9970586895942688,0.9961937665939331,0.004131895489990711,0.9958470463752747,0.9944145083427429,0.006177886854857206
11,0.9972628951072693,0.9964359998703003,0.003874704008921981,0.9961469173431396,0.9947102665901184,0.005868196953088045
12,0.9974139332771301,0.9966006278991699,0.0036849258467555046,0.995803952217102,0.993972897529602,0.006698748096823692
13,0.9974724650382996,0.9966304898262024,0.003635724075138569,0.9958658218383789,0.9939306378364563,0.006602936889976263
14,0.9976732730865479,0.9969678521156311,0.003297008341178298,0.9965468645095825,0.9950648546218872,0.005460401531308889
15,0.9977430105209351,0.9970394968986511,0.0032201437279582024,0.9965692162513733,0.9950432181358337,0.005500649102032185
16,0.9978558421134949,0.9972066283226013,0.003048649523407221,0.9965174198150635,0.9948808550834656,0.005659767426550388
17,0.9979743957519531,0.9973890781402588,0.0028626308776438236,0.9962242841720581,0.9943544268608093,0.006149727385491133
18,0.9980258345603943,0.9974653124809265,0.0027804437559098005,0.9963824152946472,0.9946043491363525,0.0059108855202794075
19,0.9980719685554504,0.9975292086601257,0.0027122923638671637,0.9968068599700928,0.9953576326370239,0.0051555512472987175
20,0.9980765581130981,0.9975276589393616,0.002710589673370123,0.9968507289886475,0.9954105615615845,0.005102079827338457
21,0.9980968832969666,0.9975547194480896,0.002681954065337777,0.9968809485435486,0.9954376220703125,0.005074037238955498
22,0.9981292486190796,0.9976050853729248,0.0026314002461731434,0.9969345927238464,0.9954919219017029,0.005030359607189894
23,0.9981418251991272,0.9976196885108948,0.00261529884301126,0.9969469904899597,0.9954977631568909,0.0050271619111299515
24,0.99815434217453,0.9976378083229065,0.002597132232040167,0.9969589710235596,0.9955056309700012,0.00501876650378108
25,0.9981591105461121,0.9976432919502258,0.002590073738247156,0.9969771504402161,0.9955131411552429,0.005013398826122284
26,0.9981563687324524,0.9976324439048767,0.002599318977445364,0.9969832301139832,0.9955164194107056,0.005010764114558697
27,0.998163640499115,0.9976425170898438,0.002587582217529416,0.9969918131828308,0.9955219030380249,0.0050096227787435055
28,0.9981704950332642,0.9976518750190735,0.0025794815737754107,0.9969978332519531,0.9955286979675293,0.005006211344152689
29,0.9981794357299805,0.9976643323898315,0.002567637711763382,0.9970035552978516,0.9955289363861084,0.005006575956940651
