epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss
0,0.9068959355354309,0.8333550095558167,0.16443996131420135,0.9187756180763245,0.8526767492294312,0.14718827605247498
1,0.90951007604599,0.8370629549026489,0.1616947501897812,0.9182793498039246,0.8520501255989075,0.14690488576889038
2,0.910795271396637,0.8392518758773804,0.16003765165805817,0.9181039929389954,0.8517338633537292,0.1467558592557907
3,0.9115914106369019,0.8409646153450012,0.15859118103981018,0.9195621013641357,0.854158341884613,0.14640285074710846
4,0.9121717214584351,0.8416683673858643,0.15787190198898315,0.918242335319519,0.8521045446395874,0.14653380215168
5,0.9129173755645752,0.8430362343788147,0.15706689655780792,0.9193828105926514,0.8538700938224792,0.14628006517887115
6,0.912995457649231,0.8434245586395264,0.15646784007549286,0.9196726083755493,0.854377269744873,0.14618104696273804
7,0.9131736159324646,0.8437840938568115,0.1560908406972885,0.919281005859375,0.8536123037338257,0.1461458057165146
8,0.9141411781311035,0.844307005405426,0.15576907992362976,0.9198509454727173,0.8545832633972168,0.1461193710565567
9,0.9142642021179199,0.8448665738105774,0.15554961562156677,0.9195655584335327,0.8540980219841003,0.1460699737071991
10,0.9141703248023987,0.8447098731994629,0.15533384680747986,0.9194101691246033,0.8539482355117798,0.1461305320262909
11,0.914453387260437,0.8453379273414612,0.1550234854221344,0.9201142191886902,0.8550015091896057,0.14602991938591003
12,0.9143099784851074,0.8452656865119934,0.15500801801681519,0.9198703169822693,0.8545761108398438,0.14602020382881165
13,0.9149832725524902,0.8458924293518066,0.15476414561271667,0.9195568561553955,0.8540754914283752,0.14598217606544495
14,0.9142690896987915,0.8455878496170044,0.15461298823356628,0.9198500514030457,0.8545433282852173,0.14597414433956146
